sort_name;random_time_small;random_steps_small;random_time_big;random_steps_big;sorted_time;sorted_steps;reversed_time;reversed_steps;arr_len
BubbleSort;60;4950;64;4950;25;4950;76;4950;100
BubbleSortIverson1;97;4719;97;4905;3;197;128;4950;100
BubbleSortIverson1&2;108;4673;118;4839;3;193;87;4950;100
SelectionSort;26;4950;29;4950;26;4950;27;4950;100
LinearInsertionSort;38;2262;46;2790;2;14;79;4950;100
BinaryInsertionSort;35;2800;42;3316;5;587;60;5430;100
CountingSort;418;0;430;0;422;0;406;0;100
RadixSort;76;6200;86;6200;75;6200;69;6200;100
MergeSort;56;598;52;598;48;598;48;598;100
HoarSort;10;304;12;483;7;647;5;573;100
LomutoSort;19;1156;12;641;57;4097;44;5049;100
HeapSort;37;0;40;0;41;0;34;0;100
BubbleSort;216;19900;355;19900;113;19900;373;19900;200
BubbleSortIverson1;298;19305;344;19845;3;397;285;19900;200
BubbleSortIverson1&2;256;18934;293;19406;5;396;321;19900;200
SelectionSort;92;19900;98;19900;90;19900;93;19900;200
LinearInsertionSort;125;8179;165;10779;3;27;297;19900;200
BinaryInsertionSort;131;9453;142;12030;10;1372;234;21053;200
CountingSort;432;0;460;0;450;0;451;0;200
RadixSort;147;12400;171;12400;147;12400;136;12400;200
MergeSort;113;1398;114;1398;105;1398;140;1398;200
HoarSort;21;612;24;1066;13;1497;10;1345;200
LomutoSort;64;4174;26;1615;263;17541;175;20099;200
HeapSort;84;0;127;0;103;0;87;0;200
BubbleSort;545;44850;633;44850;272;44850;800;44850;300
BubbleSortIverson1;546;43139;585;44805;4;597;686;44850;300
BubbleSortIverson1&2;588;42667;632;44435;7;596;1051;44850;300
SelectionSort;211;44850;203;44850;301;44850;273;44850;300
LinearInsertionSort;362;18543;444;23081;5;30;788;44850;300
BinaryInsertionSort;229;20624;306;25141;15;2219;519;46748;300
CountingSort;435;0;483;0;475;0;471;0;300
RadixSort;212;18600;250;18600;216;18600;212;18600;300
MergeSort;178;2397;175;2397;163;2397;182;2397;300
HoarSort;32;944;41;1921;19;2442;14;2189;300
LomutoSort;130;8496;45;2705;579;40522;401;45149;300
HeapSort;140;0;161;0;168;0;144;0;300
BubbleSort;1007;79800;1055;79800;395;79800;1242;79800;400
BubbleSortIverson1;971;77784;1045;78897;6;797;1242;79800;400
BubbleSortIverson1&2;1165;77784;1225;77489;9;796;1377;79800;400
SelectionSort;378;79800;392;79800;370;79800;385;79800;400
LinearInsertionSort;549;34014;643;39570;5;53;1287;79800;400
BinaryInsertionSort;430;36971;502;42475;21;3142;943;82498;400
CountingSort;456;0;550;0;521;0;528;0;400
RadixSort;299;24800;351;24800;303;24800;278;24800;400
MergeSort;240;3198;250;3198;225;3198;219;3198;400
HoarSort;45;1173;57;3213;28;3399;21;3089;400
LomutoSort;231;15179;65;3969;1040;70516;724;80199;400
HeapSort;195;0;250;0;242;0;210;0;400
BubbleSort;1571;124750;1707;124750;655;124750;2159;124750;500
BubbleSortIverson1;1697;120190;1862;124560;9;997;2272;124750;500
BubbleSortIverson1&2;2136;118038;2207;123525;13;992;2498;124750;500
SelectionSort;679;124750;725;124750;691;124750;720;124750;500
LinearInsertionSort;989;50863;1215;62326;9;72;2415;124750;500
BinaryInsertionSort;761;54680;929;66117;33;4061;1770;128248;500
CountingSort;575;0;665;0;643;0;632;0;500
RadixSort;425;31000;509;31000;442;31000;403;31000;500
MergeSort;357;3999;364;3999;321;3999;319;3999;500
HoarSort;66;1388;84;3521;40;4386;32;3989;500
LomutoSort;406;22623;96;5392;1821;106864;1319;125249;500
HeapSort;309;0;350;0;365;0;323;0;500
BubbleSort;2702;179700;2872;179700;1084;179700;3354;179700;600
BubbleSortIverson1;2666;174029;2856;177747;12;1197;3312;179700;600
BubbleSortIverson1&2;3152;174029;3333;176946;15;1187;3715;179700;600
SelectionSort;1009;179700;1047;179700;997;179700;1024;179700;600
LinearInsertionSort;1522;78168;1712;87894;10;92;3447;179700;600
BinaryInsertionSort;1147;82916;1312;92618;40;5069;2526;184087;600
CountingSort;543;0;698;0;670;0;664;0;600
RadixSort;511;37200;605;37200;533;37200;482;37200;600
MergeSort;435;5397;447;5397;397;5397;397;5397;600
