SORT_NAME;RND_TIME;RND_STEPS;SORTED_TIME;SORTED_STEPS;REVERSED_TIME;REVERSED_STEPS;SAME_EL_TIME;SAME_EL_STEPS
0;0.232;499500;0.226;499500;0.208;499500;0.223;499500
1;0.001;999;0;999;0.171;499500;0.002;999
2;0;0;0;0;0;0;0.001;0
3;0.944;499500;0.956;499500;0.959;499500;0.957;499500
4;0.001;0;0.001;0;0.743;499500;0.001;0
5;0.015;8977;0.016;8977;0.271;507487;0.015;8977
6;0;0;0;0;0;0;0;0
7;0.097;62000;0.093;62000;0.079;62000;0.082;62000
8;0.136;512;0.132;512;0.132;512;0.132;512
9;0.002;0;0;0;0;0;0.002;0
10;0;0;0;0;0.001;0;0;0
11;0.003;0;0.049;0;0.046;0;0.002;0
0;0.222;499500;0.223;499500;0.212;499500;0.229;499500
1;0;999;0.001;999;0.175;499500;0.001;999
2;0.001;0;0;0;0.001;0;0.001;0
3;0.948;499500;0.927;499500;0.923;499500;0.953;499500
4;0.001;0;0.001;0;0.722;499500;0.001;0
5;0.015;8977;0.015;8977;0.274;507487;0.015;8977
6;0;0;0.001;0;0;0;0.001;0
7;0.082;62000;0.078;62000;0.078;62000;0.081;62000
8;0.133;512;0.133;512;0.132;512;0.131;512
9;0.001;0;0.001;0;0;0;0.001;0
10;0.001;0;0;0;0;0;0.001;0
11;0.002;0;0.047;0;0.046;0;0.002;0
0;0.23;499500;0.231;499500;0.215;499500;0.245;499500
1;0.001;999;0;999;0.178;499500;0.001;999
2;0;0;0.001;0;0;0;0;0
3;0.936;499500;0.935;499500;0.954;499500;0.923;499500
4;0.002;0;0.001;0;0.738;499500;0.001;0
5;0.016;8977;0.017;8977;0.274;507487;0.015;8977
6;0.001;0;0;0;0.001;0;0.001;0
7;0.097;62000;0.079;62000;0.076;62000;0.078;62000
8;0.135;512;0.13;512;0.129;512;0.13;512
9;0;0;0.001;0;0.001;0;0;0
10;0.001;0;0.001;0;0;0;0;0
11;0.003;0;0.04;0;0.046;0;0.002;0
0;0.222;499500;0.222;499500;0.209;499500;0.232;499500
1;0.001;999;0.001;999;0.179;499500;0.001;999
2;0.001;0;0.001;0;0;0;0.001;0
3;0.961;499500;0.944;499500;0.965;499500;0.952;499500
4;0.001;0;0.001;0;0.717;499500;0.001;0
5;0.015;8977;0.015;8977;0.264;507487;0.015;8977
6;0.001;0;0;0;0;0;0;0
7;0.079;62000;0.075;62000;0.075;62000;0.078;62000
8;0.128;512;0.127;512;0.127;512;0.13;512
9;0;0;0;0;0.001;0;0;0
10;0;0;0.001;0;0;0;0;0
11;0.003;0;0.044;0;0.045;0;0.003;0
0;0.229;499500;0.23;499500;0.215;499500;0.227;499500
1;0.001;999;0.001;999;0.178;499500;0;999
2;0;0;0.001;0;0;0;0;0
3;0.961;499500;0.952;499500;0.94;499500;0.943;499500
4;0.001;0;0.002;0;0.743;499500;0.001;0
5;0.016;8977;0.015;8977;0.264;507487;0.016;8977
6;0;0;0.001;0;0;0;0;0
7;0.084;62000;0.076;62000;0.076;62000;0.079;62000
8;0.135;512;0.135;512;0.135;512;0.132;512
9;0;0;0;0;0.001;0;0;0
10;0.001;0;0;0;0;0;0.001;0
11;0.002;0;0.049;0;0.045;0;0.003;0
0;0.223;499500;0.224;499500;0.215;499500;0.231;499500
1;0.001;999;0.001;999;0.178;499500;0.001;999
2;0;0;0.001;0;0;0;0.001;0
3;0.943;499500;0.923;499500;0.939;499500;0.934;499500
4;0.001;0;0.001;0;0.72;499500;0.002;0
5;0.015;8977;0.015;8977;0.27;507487;0.015;8977
6;0;0;0.001;0;0;0;0;0
7;0.082;62000;0.078;62000;0.078;62000;0.079;62000
8;0.129;512;0.129;512;0.13;512;0.129;512
9;0;0;0.001;0;0;0;0;0
10;0.001;0;0;0;0.001;0;0;0
11;0.002;0;0.043;0;0.043;0;0.002;0
0;0.222;499500;0.223;499500;0.209;499500;0.227;499500
1;0.001;999;0.002;999;0.179;499500;0;999
2;0.001;0;0.001;0;0;0;0.001;0
3;0.943;499500;0.95;499500;0.957;499500;0.94;499500
4;0.001;0;0.001;0;0.718;499500;0.002;0
5;0.015;8977;0.015;8977;0.275;507487;0.015;8977
6;0;0;0.002;0;0;0;0.001;0
7;0.081;62000;0.075;62000;0.075;62000;0.078;62000
8;0.129;512;0.129;512;0.13;512;0.129;512
9;0;0;0;0;0.002;0;0;0
10;0.001;0;0.001;0;0;0;0;0
11;0.002;0;0.044;0;0.042;0;0.002;0
0;0.222;499500;0.231;499500;0.216;499500;0.224;499500
1;0.001;999;0.002;999;0.173;499500;0.001;999
2;0.002;0;0;0;0;0;0.001;0
3;0.948;499500;0.93;499500;0.937;499500;0.931;499500
4;0.001;0;0.001;0;0.717;499500;0.001;0
5;0.014;8977;0.015;8977;0.264;507487;0.015;8977
6;0.001;0;0;0;0.001;0;0.001;0
7;0.079;62000;0.075;62000;0.076;62000;0.078;62000
8;0.129;512;0.131;512;0.129;512;0.129;512
9;0.001;0;0;0;0.001;0;0.001;0
10;0;0;0;0;0.001;0;0.001;0
11;0.002;0;0.035;0;0.043;0;0.002;0
0;0.223;499500;0.223;499500;0.207;499500;0.224;499500
1;0.001;999;0.001;999;0.18;499500;0.001;999
2;0;0;0;0;0;0;0;0
3;0.938;499500;0.923;499500;0.924;499500;0.928;499500
4;0.001;0;0.001;0;0.717;499500;0.001;0
5;0.014;8977;0.015;8977;0.264;507487;0.015;8977
6;0.002;0;0;0;0.001;0;0;0
7;0.078;62000;0.076;62000;0.078;62000;0.081;62000
8;0.134;512;0.13;512;0.129;512;0.129;512
9;0.001;0;0;0;0.001;0;0;0
10;0;0;0;0;0;0;0.001;0
11;0.002;0;0.046;0;0.039;0;0.002;0
0;0.225;499500;0.231;499500;0.211;499500;0.222;499500
1;0.002;999;0.001;999;0.173;499500;0.002;999
2;0.001;0;0;0;0.002;0;0;0
3;0.922;499500;0.94;499500;0.924;499500;0.922;499500
4;0.001;0;0.001;0;0.716;499500;0.002;0
5;0.014;8977;0.015;8977;0.264;507487;0.014;8977
6;0;0;0.001;0;0;0;0;0
7;0.079;62000;0.074;62000;0.074;62000;0.078;62000
8;0.129;512;0.129;512;0.13;512;0.135;512
9;0.002;0;0;0;0;0;0.001;0
10;0;0;0.001;0;0.001;0;0.001;0
11;0.002;0;0.048;0;0.036;0;0.002;0
0;0.222;499500;0.222;499500;0.208;499500;0.226;499500
1;0;999;0;999;0.173;499500;0.001;999
2;0;0;0;0;0.001;0;0;0
3;0.923;499500;0.994;499500;0.937;499500;0.923;499500
4;0.001;0;0.001;0;0.715;499500;0.001;0
5;0.015;8977;0.015;8977;0.264;507487;0.016;8977
6;0;0;0;0;0.001;0;0;0
7;0.091;62000;0.076;62000;0.076;62000;0.079;62000
8;0.134;512;0.131;512;0.129;512;0.13;512
9;0.001;0;0;0;0.001;0;0.001;0
10;0.001;0;0;0;0.001;0;0.001;0
11;0.002;0;0.047;0;0.045;0;0.002;0
0;0.223;499500;0.222;499500;0.208;499500;0.223;499500
1;0.002;999;0.001;999;0.172;499500;0.001;999
2;0;0;0;0;0.002;0;0;0
3;0.947;499500;0.923;499500;0.938;499500;0.939;499500
4;0.001;0;0.002;0;0.717;499500;0.001;0
5;0.015;8977;0.014;8977;0.269;507487;0.015;8977
6;0.001;0;0;0;0.002;0;0;0
7;0.078;62000;0.076;62000;0.075;62000;0.078;62000
8;0.131;512;0.13;512;0.129;512;0.13;512
9;0.001;0;0;0;0.001;0;0;0
10;0;0;0.002;0;0;0;0;0
11;0.003;0;0.045;0;0.044;0;0.004;0
0;0.225;499500;0.223;499500;0.207;499500;0.23;499500
1;0.002;999;0.001;999;0.181;499500;0.002;999
2;0.001;0;0;0;0.001;0;0;0
3;0.951;499500;0.929;499500;0.924;499500;0.943;499500
4;0.002;0;0.001;0;0.747;499500;0.002;0
5;0.016;8977;0.015;8977;0.266;507487;0.016;8977
6;0;0;0.001;0;0;0;0;0
7;0.083;62000;0.079;62000;0.077;62000;0.079;62000
8;0.133;512;0.129;512;0.129;512;0.13;512
9;0.001;0;0;0;0.001;0;0;0
10;0;0;0.001;0;0;0;0;0
11;0.004;0;0.046;0;0.042;0;0.004;0
0;0.223;499500;0.222;499500;0.208;499500;0.221;499500
1;0.001;999;0.001;999;0.172;499500;0.001;999
2;0;0;0;0;0.001;0;0;0
3;0.924;499500;0.923;499500;0.924;499500;0.944;499500
4;0.001;0;0.001;0;0.718;499500;0.001;0
5;0.015;8977;0.014;8977;0.264;507487;0.014;8977
6;0;0;0.002;0;0;0;0.001;0
7;0.08;62000;0.076;62000;0.075;62000;0.08;62000
8;0.129;512;0.129;512;0.138;512;0.129;512
9;0.001;0;0;0;0;0;0;0
10;0;0;0.001;0;0;0;0;0
11;0.003;0;0.048;0;0.036;0;0.003;0
0;0.223;499500;0.222;499500;0.214;499500;0.225;499500
1;0.001;999;0.001;999;0.172;499500;0.001;999
2;0;0;0.001;0;0.001;0;0;0
3;0.925;499500;0.927;499500;0.924;499500;0.923;499500
4;0.002;0;0.001;0;0.717;499500;0.002;0
5;0.015;8977;0.025;8977;0.283;507487;0.015;8977
6;0;0;0;0;0.001;0;0;0
7;0.088;62000;0.085;62000;0.075;62000;0.089;62000
8;0.134;512;0.13;512;0.129;512;0.129;512
9;0;0;0;0;0;0;0.001;0
10;0;0;0.001;0;0.001;0;0;0
11;0.002;0;0.047;0;0.038;0;0.003;0
0;0.222;499500;0.223;499500;0.207;499500;0.221;499500
1;0.001;999;0.002;999;0.172;499500;0.001;999
2;0.001;0;0;0;0;0;0;0
3;0.93;499500;0.924;499500;0.924;499500;0.929;499500
4;0.001;0;0.001;0;0.716;499500;0.001;0
5;0.014;8977;0.015;8977;0.264;507487;0.015;8977
6;0.001;0;0;0;0;0;0;0
7;0.078;62000;0.074;62000;0.075;62000;0.078;62000
8;0.13;512;0.13;512;0.13;512;0.129;512
9;0.001;0;0;0;0;0;0;0
10;0;0;0.001;0;0.001;0;0.001;0
11;0.002;0;0.042;0;0.037;0;0.002;0
0;0.224;499500;0.222;499500;0.207;499500;0.223;499500
1;0.001;999;0.001;999;0.176;499500;0.001;999
2;0;0;0.002;0;0;0;0;0
3;0.956;499500;0.964;499500;0.942;499500;0.952;499500
4;0.002;0;0.002;0;0.717;499500;0.001;0
5;0.015;8977;0.015;8977;0.264;507487;0.016;8977
6;0.001;0;0;0;0.001;0;0.001;0
7;0.08;62000;0.075;62000;0.075;62000;0.078;62000
8;0.132;512;0.131;512;0.13;512;0.128;512
9;0;0;0.001;0;0.001;0;0;0
10;0.001;0;0;0;0;0;0;0
11;0.002;0;0.047;0;0.045;0;0.002;0
0;0.222;499500;0.222;499500;0.208;499500;0.222;499500
1;0.001;999;0.002;999;0.172;499500;0.001;999
2;0.001;0;0;0;0;0;0.001;0
3;0.923;499500;0.958;499500;0.943;499500;0.932;499500
4;0.001;0;0.001;0;0.725;499500;0.001;0
5;0.015;8977;0.014;8977;0.269;507487;0.015;8977
6;0.001;0;0.001;0;0;0;0.002;0
7;0.08;62000;0.075;62000;0.076;62000;0.078;62000
8;0.131;512;0.13;512;0.13;512;0.129;512
9;0.001;0;0.001;0;0;0;0.001;0
10;0;0;0;0;0.001;0;0;0
11;0.002;0;0.049;0;0.034;0;0.003;0
0;0.222;499500;0.221;499500;0.207;499500;0.222;499500
1;0.001;999;0.001;999;0.173;499500;0.001;999
2;0.001;0;0.001;0;0;0;0;0
3;0.927;499500;0.923;499500;0.924;499500;0.931;499500
4;0.001;0;0.001;0;0.732;499500;0.001;0
5;0.014;8977;0.015;8977;0.271;507487;0.015;8977
6;0.002;0;0;0;0;0;0.001;0
7;0.081;62000;0.092;62000;0.075;62000;0.079;62000
8;0.133;512;0.13;512;0.131;512;0.13;512
9;0;0;0.001;0;0.001;0;0;0
10;0.001;0;0;0;0;0;0.002;0
11;0.002;0;0.037;0;0.044;0;0.002;0
0;0.223;499500;0.222;499500;0.208;499500;0.222;499500
1;0;999;0;999;0.172;499500;0;999
2;0;0;0.001;0;0;0;0.001;0
3;0.923;499500;0.923;499500;0.924;499500;0.922;499500
