sort_name;random_time;random_steps;sorted_time;sorted_steps;reversed_time;reversed_steps;same_el_time;same_el_steps
BubbleSort;0.77;499500;0.507;499500;0.505;499500;0.505;499500
BubbleSortIverson1;0.763;497085;0.002;999;0.523;499500;0.003;999
BubbleSortIverson1&2;0.001;0;0;0;0.001;0;0.001;0
SelectionSort;1.925;499500;1.906;499500;1.914;499500;1.744;499500
LinearInsertionSort;0.001;0;0;0;0;0;0;0
BinaryInsertionSort;0.332;499500;0.355;499500;0.338;499500;0.335;499500
CountingSort;0.001;0;0.002;0;0.001;0;0.001;0
RadixSort;0.244;62000;0.135;62000;0.135;62000;0.139;62000
MergeSort;0.238;512;0.231;512;0.229;512;0.229;512
HoarSort;0.08;8966;0.016;9976;0.013;8977;0.015;999
LomutoSort;0.001;0;0.002;0;0.001;0;0.001;0
HeapSort;0.033;0;0.004;0;0.062;0;0.003;0
BubbleSort;0.651;499500;0.438;499500;0.44;499500;0.439;499500
BubbleSortIverson1;0.672;498797;0.001;999;0.457;499500;0.001;999
BubbleSortIverson1&2;0;0;0.001;0;0.001;0;0;0
SelectionSort;1.672;499500;1.654;499500;1.584;499500;1.461;499500
LinearInsertionSort;0.002;0;0;0;0.001;0;0;0
BinaryInsertionSort;0.292;499500;0.293;499500;0.292;499500;0.291;499500
CountingSort;0.001;0;0.002;0;0.001;0;0.001;0
RadixSort;0.2;62000;0.118;62000;0.118;62000;0.123;62000
MergeSort;0.206;512;0.202;512;0.201;512;0.2;512
HoarSort;0.071;8269;0.014;9976;0.012;8977;0.013;999
LomutoSort;0.001;0;0.003;0;0.002;0;0.001;0
HeapSort;0.035;0;0.002;0;0.06;0;0.003;0
BubbleSort;0.578;499500;0.392;499500;0.404;499500;0.389;499500
BubbleSortIverson1;0.59;498554;0.002;999;0.439;499500;0.002;999
BubbleSortIverson1&2;0.001;0;0.001;0;0;0;0;0
SelectionSort;1.336;499500;1.309;499500;1.31;499500;1.336;499500
LinearInsertionSort;0.001;0;0.001;0;0;0;0;0
BinaryInsertionSort;0.269;499500;0.265;499500;0.264;499500;0.263;499500
CountingSort;0;0;0.001;0;0;0;0.002;0
RadixSort;0.199;62000;0.107;62000;0.106;62000;0.111;62000
MergeSort;0.191;512;0.18;512;0.181;512;0.18;512
HoarSort;0.063;8509;0.011;9976;0.011;8977;0.014;999
LomutoSort;0.001;0;0.001;0;0;0;0;0
HeapSort;0.031;0;0.002;0;0.051;0;0.003;0
BubbleSort;0.516;499500;0.349;499500;0.349;499500;0.346;499500
BubbleSortIverson1;0.52;499149;0.002;999;0.328;499500;0.002;999
BubbleSortIverson1&2;0;0;0;0;0;0;0;0
SelectionSort;1.221;499500;1.199;499500;1.198;499500;1.196;499500
LinearInsertionSort;0.001;0;0.001;0;0;0;0.001;0
BinaryInsertionSort;0.243;499500;0.24;499500;0.24;499500;0.219;499500
CountingSort;0;0;0.001;0;0;0;0;0
RadixSort;0.153;62000;0.089;62000;0.089;62000;0.094;62000
MergeSort;0.156;512;0.152;512;0.152;512;0.152;512
HoarSort;0.055;8445;0.009;9976;0.008;8977;0.009;999
LomutoSort;0;0;0;0;0;0;0;0
HeapSort;0.029;0;0.002;0;0.046;0;0.002;0
BubbleSort;0.435;499500;0.294;499500;0.292;499500;0.292;499500
BubbleSortIverson1;0.439;497289;0.001;999;0.303;499500;0.001;999
BubbleSortIverson1&2;0.002;0;0.001;0;0;0;0.002;0
SelectionSort;1.115;499500;1.106;499500;1.105;499500;1.105;499500
LinearInsertionSort;0.001;0;0;0;0;0;0;0
BinaryInsertionSort;0.208;499500;0.207;499500;0.206;499500;0.208;499500
CountingSort;0.001;0;0;0;0.001;0;0;0
RadixSort;0.141;62000;0.084;62000;0.083;62000;0.087;62000
MergeSort;0.147;512;0.143;512;0.142;512;0.143;512
HoarSort;0.05;8531;0.008;9976;0.008;8977;0.009;999
LomutoSort;0;0;0;0;0.001;0;0;0
HeapSort;0.028;0;0.002;0;0.038;0;0.001;0
BubbleSort;0.406;499500;0.284;499500;0.273;499500;0.275;499500
BubbleSortIverson1;0.423;499380;0.001;999;0.286;499500;0.001;999
BubbleSortIverson1&2;0;0;0;0;0.001;0;0;0
SelectionSort;1.045;499500;1.033;499500;1.1;499500;1.477;499500
LinearInsertionSort;0;0;0.001;0;0;0;0.001;0
BinaryInsertionSort;0.212;499500;0.207;499500;0.209;499500;0.205;499500
CountingSort;0.001;0;0;0;0.001;0;0;0
RadixSort;0.147;62000;0.078;62000;0.077;62000;0.081;62000
MergeSort;0.137;512;0.132;512;0.133;512;0.132;512
HoarSort;0.047;7860;0.008;9976;0.008;8977;0.008;999
LomutoSort;0.001;0;0;0;0;0;0.001;0
HeapSort;0.017;0;0.003;0;0.034;0;0.002;0
BubbleSort;0.38;499500;0.254;499500;0.254;499500;0.253;499500
BubbleSortIverson1;0.382;497904;0.001;999;0.262;499500;0.001;999
BubbleSortIverson1&2;0;0;0.001;0;0.001;0;0.001;0
SelectionSort;0.966;499500;0.957;499500;0.957;499500;0.956;499500
LinearInsertionSort;0.001;0;0.001;0;0;0;0.002;0
BinaryInsertionSort;0.192;499500;0.192;499500;0.198;499500;0.193;499500
CountingSort;0.001;0;0;0;0;0;0.001;0
RadixSort;0.132;62000;0.078;62000;0.077;62000;0.08;62000
MergeSort;0.135;512;0.132;512;0.131;512;0.131;512
HoarSort;0.045;8510;0.009;9976;0.007;8977;0.008;999
LomutoSort;0.001;0;0;0;0;0;0;0
HeapSort;0.027;0;0.001;0;0.042;0;0.002;0
BubbleSort;0.382;499500;0.254;499500;0.254;499500;0.252;499500
BubbleSortIverson1;0.385;494550;0;999;0.263;499500;0;999
BubbleSortIverson1&2;0;0;0.001;0;0;0;0.001;0
SelectionSort;0.966;499500;0.957;499500;0.958;499500;0.957;499500
LinearInsertionSort;0.001;0;0;0;0.001;0;0.001;0
BinaryInsertionSort;0.192;499500;0.192;499500;0.192;499500;0.223;499500
CountingSort;0;0;0;0;0;0;0.001;0
RadixSort;0.14;62000;0.077;62000;0.077;62000;0.08;62000
MergeSort;0.129;512;0.131;512;0.129;512;0.131;512
HoarSort;0.046;10069;0.008;9976;0.008;8977;0.008;999
LomutoSort;0.001;0;0;0;0.001;0;0;0
HeapSort;0.025;0;0.002;0;0.039;0;0.002;0
